MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = -6.121728e-02, time=2025-04-10 19:57:02 
jj1 = 35, max_th = 2.950073e-01, time=2025-04-10 19:59:33 
jj1 = 15, max_th = 1.160597e+00, time=2025-04-10 20:03:31 
jj1 = 50, max_th = 1.909371e+00, time=2025-04-10 20:06:20 
jj1 = 25, max_th = 1.584335e+00, time=2025-04-10 20:08:32 
jj1 = 5, max_th = 1.590725e+00, time=2025-04-10 20:09:02 
jj1 = 34, max_th = 1.163374e+00, time=2025-04-10 20:10:09 
jj1 = 45, max_th = 1.682007e+00, time=2025-04-10 20:11:25 
jj1 = 20, max_th = 1.781393e+00, time=2025-04-10 20:13:15 
jj1 = 55, max_th = 2.170551e+00, time=2025-04-10 20:16:50 
jj1 = 24, max_th = 1.495234e+00, time=2025-04-10 20:16:54 
jj1 = 10, max_th = 1.827727e+00, time=2025-04-10 20:18:30 
jj1 = 40, max_th = 1.216888e+00, time=2025-04-10 20:18:36 
jj1 = 14, max_th = 1.704577e+00, time=2025-04-10 20:22:15 
jj1 = 60, max_th = 2.039827e+00, time=2025-04-10 20:25:02 
jj1 = 49, max_th = 2.223911e+00, time=2025-04-10 20:26:11 
jj1 = 33, max_th = 2.368354e+00, time=2025-04-10 20:26:12 
jj1 = 44, max_th = 1.707335e+00, time=2025-04-10 20:27:49 
jj1 = 54, max_th = 2.250019e+00, time=2025-04-10 20:28:00 
jj1 = 39, max_th = 2.249671e+00, time=2025-04-10 20:28:47 
jj1 = 29, max_th = 2.435199e+00, time=2025-04-10 20:31:49 
jj1 = 38, max_th = -8.946829e-04, time=2025-04-10 20:31:59 
jj1 = 48, max_th = 1.246343e+00, time=2025-04-10 20:31:59 
jj1 = 59, max_th = 2.919564e+00, time=2025-04-10 20:34:53 
jj1 = 23, max_th = 2.420091e+00, time=2025-04-10 20:35:24 
jj1 = 28, max_th = 9.495277e-01, time=2025-04-10 20:36:06 
jj1 = 19, max_th = 2.314121e+00, time=2025-04-10 20:36:21 
jj1 = 4, max_th = 2.159750e+00, time=2025-04-10 20:39:19 
jj1 = 3, max_th = 3.823291e-01, time=2025-04-10 20:39:58 
jj1 = 9, max_th = 1.992666e+00, time=2025-04-10 20:40:25 
jj1 = 2, max_th = 7.272204e-01, time=2025-04-10 20:41:36 
jj1 = 47, max_th = 2.629269e+00, time=2025-04-10 20:41:46 
