MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 60, max_th = 1.013413e+00, time=2025-04-07 16:27:41 
jj1 = 40, max_th = 1.146820e+00, time=2025-04-07 16:29:01 
jj1 = 15, max_th = 2.529631e+00, time=2025-04-07 16:36:01 
jj1 = 20, max_th = 2.480112e+00, time=2025-04-07 16:36:27 
jj1 = 14, max_th = 4.880997e-01, time=2025-04-07 16:37:04 
jj1 = 55, max_th = 1.832625e+00, time=2025-04-07 16:38:52 
jj1 = 39, max_th = 3.456650e+00, time=2025-04-07 16:39:42 
jj1 = 5, max_th = 2.230048e+00, time=2025-04-07 16:43:19 
jj1 = 38, max_th = 1.549927e+00, time=2025-04-07 16:43:29 
jj1 = 59, max_th = 2.575188e+00, time=2025-04-07 16:43:32 
jj1 = 45, max_th = 2.355538e+00, time=2025-04-07 16:44:07 
jj1 = 35, max_th = 1.520857e+00, time=2025-04-07 16:44:21 
jj1 = 10, max_th = 2.078455e+00, time=2025-04-07 16:46:28 
jj1 = 30, max_th = 2.015352e+00, time=2025-04-07 16:47:12 
jj1 = 44, max_th = 1.097197e+00, time=2025-04-07 16:49:34 
jj1 = 4, max_th = 2.811972e+00, time=2025-04-07 16:51:12 
jj1 = 25, max_th = 1.938187e+00, time=2025-04-07 16:51:56 
jj1 = 50, max_th = 1.828850e+00, time=2025-04-07 16:52:28 
jj1 = 34, max_th = 2.605721e+00, time=2025-04-07 16:55:16 
jj1 = 29, max_th = 2.705327e+00, time=2025-04-07 16:56:25 
jj1 = 43, max_th = 1.136152e+00, time=2025-04-07 16:58:58 
jj1 = 9, max_th = 2.455921e+00, time=2025-04-07 17:01:34 
jj1 = 54, max_th = 2.219999e+00, time=2025-04-07 17:02:23 
jj1 = 58, max_th = 1.852790e+00, time=2025-04-07 17:02:49 
jj1 = 13, max_th = 1.669246e+00, time=2025-04-07 17:02:57 
jj1 = 37, max_th = 1.916977e+00, time=2025-04-07 17:05:13 
jj1 = 53, max_th = 2.906099e+00, time=2025-04-07 17:06:01 
jj1 = 57, max_th = 8.392777e-01, time=2025-04-07 17:07:54 
jj1 = 24, max_th = 1.721603e+00, time=2025-04-07 17:11:57 
jj1 = 49, max_th = 2.321433e+00, time=2025-04-07 17:14:21 
jj1 = 3, max_th = 1.983160e+00, time=2025-04-07 17:15:51 
jj1 = 8, max_th = 2.346584e+00, time=2025-04-07 17:16:32 
jj1 = 33, max_th = 2.233917e+00, time=2025-04-07 17:17:28 
jj1 = 52, max_th = 1.448259e+00, time=2025-04-07 17:18:30 
jj1 = 12, max_th = 2.483357e+00, time=2025-04-07 17:18:45 
jj1 = 19, max_th = 1.738897e+00, time=2025-04-07 17:18:57 
jj1 = 56, max_th = 1.127216e+00, time=2025-04-07 17:18:58 
jj1 = 28, max_th = 2.068250e+00, time=2025-04-07 17:19:05 
jj1 = 42, max_th = 1.769605e+00, time=2025-04-07 17:21:02 
jj1 = 36, max_th = 1.991143e+00, time=2025-04-07 17:26:59 
jj1 = 23, max_th = 1.313683e+00, time=2025-04-07 17:27:57 
jj1 = 48, max_th = 2.625349e+00, time=2025-04-07 17:31:18 
jj1 = 2, max_th = 2.454038e+00, time=2025-04-07 17:31:35 
jj1 = 528, max_th = 1.468484e+00, time=2025-04-07 17:32:39 
jj1 = 27, max_th = 1.632908e+00, time=2025-04-07 17:37:39 
jj1 = 18, max_th = 1.705667e+00, time=2025-04-07 17:39:06 
jj1 = 41, max_th = 2.196993e+00, time=2025-04-07 17:39:14 
jj1 = 1, max_th = 1.111622e+00, time=2025-04-07 17:39:21 
jj1 = 32, max_th = 1.583968e+00, time=2025-04-07 17:39:45 
jj1 = 47, max_th = 2.526021e+00, time=2025-04-07 17:40:18 
jj1 = 99, max_th = 3.114597e+00, time=2025-04-07 17:41:27 
jj1 = 7, max_th = 2.029885e+00, time=2025-04-07 17:41:54 
jj1 = 22, max_th = 1.279093e+00, time=2025-04-07 17:45:20 
jj1 = 411, max_th = 2.801377e+00, time=2025-04-07 17:46:30 
jj1 = 372, max_th = 2.222072e+00, time=2025-04-07 17:47:55 
jj1 = 17, max_th = 2.600494e+00, time=2025-04-07 17:48:05 
jj1 = 26, max_th = 2.587789e+00, time=2025-04-07 17:49:03 
jj1 = 527, max_th = 1.336597e+00, time=2025-04-07 17:49:22 
jj1 = 16, max_th = 8.501113e-03, time=2025-04-07 17:49:26 
jj1 = 31, max_th = 1.658038e+00, time=2025-04-07 17:50:49 
jj1 = 11, max_th = 1.966717e+00, time=2025-04-07 17:52:53 
jj1 = 51, max_th = 1.925486e+00, time=2025-04-07 17:54:30 
jj1 = 371, max_th = 2.676468e+00, time=2025-04-07 17:56:55 
jj1 = 21, max_th = 1.552656e+00, time=2025-04-07 17:57:58 
jj1 = 333, max_th = 1.287573e+00, time=2025-04-07 17:58:58 
jj1 = 6, max_th = 2.405136e+00, time=2025-04-07 17:59:16 
jj1 = 489, max_th = 9.579894e-01, time=2025-04-07 17:59:36 
jj1 = 98, max_th = 2.198257e+00, time=2025-04-07 17:59:40 
jj1 = 46, max_th = 1.881010e+00, time=2025-04-07 17:59:58 
jj1 = 410, max_th = 1.797552e+00, time=2025-04-07 18:00:14 
jj1 = 177, max_th = 2.649012e+00, time=2025-04-07 18:02:07 
jj1 = 216, max_th = 1.654037e+00, time=2025-04-07 18:03:55 
jj1 = 526, max_th = 1.671807e+00, time=2025-04-07 18:04:46 
jj1 = 294, max_th = 2.379698e+00, time=2025-04-07 18:07:28 
jj1 = 138, max_th = 1.437824e+00, time=2025-04-07 18:07:41 
jj1 = 255, max_th = 1.861589e+00, time=2025-04-07 18:09:53 
jj1 = 137, max_th = 2.900976e+00, time=2025-04-07 18:11:39 
jj1 = 525, max_th = 2.664588e+00, time=2025-04-07 18:15:16 
jj1 = 97, max_th = 1.505794e+00, time=2025-04-07 18:15:53 
jj1 = 488, max_th = 2.303730e+00, time=2025-04-07 18:16:49 
jj1 = 450, max_th = 2.357912e+00, time=2025-04-07 18:17:52 
jj1 = 332, max_th = 2.360158e+00, time=2025-04-07 18:19:21 
jj1 = 487, max_th = 8.566702e-01, time=2025-04-07 18:21:12 
jj1 = 176, max_th = 1.624843e+00, time=2025-04-07 18:22:27 
jj1 = 370, max_th = 1.946559e+00, time=2025-04-07 18:22:37 
jj1 = 409, max_th = 1.770568e+00, time=2025-04-07 18:24:00 
jj1 = 215, max_th = 2.127308e+00, time=2025-04-07 18:26:01 
jj1 = 293, max_th = 1.903841e+00, time=2025-04-07 18:29:05 
jj1 = 292, max_th = 6.133268e-01, time=2025-04-07 18:30:29 
jj1 = 254, max_th = 2.205439e+00, time=2025-04-07 18:31:44 
jj1 = 524, max_th = 1.648802e+00, time=2025-04-07 18:32:36 
jj1 = 136, max_th = 2.303081e+00, time=2025-04-07 18:32:51 
jj1 = 96, max_th = 1.702388e+00, time=2025-04-07 18:33:09 
jj1 = 523, max_th = 2.894066e+00, time=2025-04-07 18:36:06 
jj1 = 135, max_th = 2.842085e+00, time=2025-04-07 18:38:09 
jj1 = 449, max_th = 1.844510e+00, time=2025-04-07 18:40:11 
jj1 = 291, max_th = 2.669373e+00, time=2025-04-07 18:40:17 
