MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 5, max_th = -1.766279e-01, time=2025-04-15 09:54:53 
jj1 = 10, max_th = 3.157259e+00, time=2025-04-15 09:55:32 
jj1 = 45, max_th = 7.051263e-01, time=2025-04-15 09:56:26 
jj1 = 9, max_th = 2.800124e+00, time=2025-04-15 10:00:07 
jj1 = 4, max_th = 1.306853e+00, time=2025-04-15 10:06:04 
jj1 = 30, max_th = 2.246107e+00, time=2025-04-15 10:10:09 
jj1 = 60, max_th = 2.352233e+00, time=2025-04-15 10:10:53 
jj1 = 50, max_th = 2.428087e+00, time=2025-04-15 10:10:53 
jj1 = 35, max_th = 2.478336e+00, time=2025-04-15 10:12:30 
jj1 = 8, max_th = 1.601032e+00, time=2025-04-15 10:14:31 
jj1 = 20, max_th = 2.170283e+00, time=2025-04-15 10:15:21 
jj1 = 55, max_th = 1.591440e+00, time=2025-04-15 10:16:02 
jj1 = 15, max_th = 1.954225e+00, time=2025-04-15 10:16:03 
jj1 = 25, max_th = 2.147821e+00, time=2025-04-15 10:17:45 
jj1 = 3, max_th = 2.553417e+00, time=2025-04-15 10:18:45 
jj1 = 44, max_th = 1.874689e+00, time=2025-04-15 10:19:53 
jj1 = 40, max_th = 1.968347e+00, time=2025-04-15 10:19:54 
jj1 = 39, max_th = 3.472031e+00, time=2025-04-15 10:20:12 
jj1 = 29, max_th = 1.383872e+00, time=2025-04-15 10:22:53 
jj1 = 59, max_th = 1.576212e+00, time=2025-04-15 10:23:01 
jj1 = 24, max_th = 1.062702e+00, time=2025-04-15 10:25:19 
jj1 = 14, max_th = 1.172241e+00, time=2025-04-15 10:26:14 
jj1 = 34, max_th = 1.321906e+00, time=2025-04-15 10:26:15 
jj1 = 7, max_th = 1.500627e+00, time=2025-04-15 10:27:19 
jj1 = 49, max_th = 1.924400e+00, time=2025-04-15 10:30:26 
jj1 = 19, max_th = 1.597801e+00, time=2025-04-15 10:31:02 
jj1 = 48, max_th = 3.146745e+00, time=2025-04-15 10:31:09 
jj1 = 6, max_th = 2.758135e+00, time=2025-04-15 10:32:54 
jj1 = 43, max_th = 1.498268e+00, time=2025-04-15 10:33:19 
jj1 = 28, max_th = 1.645692e+00, time=2025-04-15 10:34:32 
jj1 = 13, max_th = 1.398604e+00, time=2025-04-15 10:36:31 
jj1 = 38, max_th = 2.199297e+00, time=2025-04-15 10:36:46 
jj1 = 58, max_th = 1.275390e+00, time=2025-04-15 10:38:16 
jj1 = 33, max_th = 2.586724e+00, time=2025-04-15 10:38:32 
jj1 = 54, max_th = 1.781729e+00, time=2025-04-15 10:40:33 
jj1 = 138, max_th = 1.122126e+00, time=2025-04-15 10:40:37 
jj1 = 2, max_th = 2.221963e+00, time=2025-04-15 10:42:58 
jj1 = 12, max_th = 2.776968e+00, time=2025-04-15 10:43:27 
jj1 = 42, max_th = 2.518730e+00, time=2025-04-15 10:47:12 
jj1 = 23, max_th = 1.987512e+00, time=2025-04-15 10:47:41 
jj1 = 53, max_th = 1.197099e+00, time=2025-04-15 10:48:38 
