MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = -5.821075e-01, time=2025-04-07 16:20:51 
jj1 = 55, max_th = 1.043490e+00, time=2025-04-07 16:26:47 
jj1 = 10, max_th = 1.166581e+00, time=2025-04-07 16:27:27 
jj1 = 25, max_th = 1.184429e+00, time=2025-04-07 16:29:40 
jj1 = 24, max_th = 2.857225e+00, time=2025-04-07 16:30:58 
jj1 = 60, max_th = 2.621651e+00, time=2025-04-07 16:31:15 
jj1 = 29, max_th = 1.518623e+00, time=2025-04-07 16:37:03 
jj1 = 15, max_th = 1.880885e+00, time=2025-04-07 16:40:05 
jj1 = 50, max_th = 1.479035e+00, time=2025-04-07 16:40:15 
jj1 = 23, max_th = 2.675124e+00, time=2025-04-07 16:41:28 
jj1 = 5, max_th = 2.045986e+00, time=2025-04-07 16:41:57 
jj1 = 40, max_th = 2.211017e+00, time=2025-04-07 16:42:15 
jj1 = 35, max_th = 1.585127e+00, time=2025-04-07 16:44:40 
jj1 = 28, max_th = 1.222757e+00, time=2025-04-07 16:45:34 
jj1 = 54, max_th = 1.562373e+00, time=2025-04-07 16:47:17 
jj1 = 20, max_th = 1.925947e+00, time=2025-04-07 16:47:21 
jj1 = 9, max_th = 2.117085e+00, time=2025-04-07 16:53:47 
jj1 = 59, max_th = 1.859499e+00, time=2025-04-07 16:54:02 
jj1 = 53, max_th = 2.891905e+00, time=2025-04-07 16:54:52 
jj1 = 45, max_th = 2.288838e+00, time=2025-04-07 16:58:53 
jj1 = 49, max_th = 2.216833e+00, time=2025-04-07 16:59:43 
jj1 = 39, max_th = 1.556663e+00, time=2025-04-07 17:00:25 
jj1 = 19, max_th = 2.498794e+00, time=2025-04-07 17:00:26 
jj1 = 14, max_th = 1.920708e+00, time=2025-04-07 17:04:05 
jj1 = 27, max_th = 1.927207e+00, time=2025-04-07 17:04:34 
jj1 = 22, max_th = 2.217542e+00, time=2025-04-07 17:04:43 
jj1 = 44, max_th = 2.824249e+00, time=2025-04-07 17:05:52 
jj1 = 48, max_th = 1.427624e+00, time=2025-04-07 17:09:54 
jj1 = 8, max_th = 2.317778e+00, time=2025-04-07 17:10:31 
jj1 = 34, max_th = 2.225041e+00, time=2025-04-07 17:10:41 
jj1 = 43, max_th = 2.760609e+00, time=2025-04-07 17:11:23 
jj1 = 4, max_th = 1.923991e+00, time=2025-04-07 17:11:52 
jj1 = 58, max_th = 2.202020e+00, time=2025-04-07 17:12:44 
jj1 = 26, max_th = 2.687098e+00, time=2025-04-07 17:13:51 
jj1 = 52, max_th = 1.969704e+00, time=2025-04-07 17:18:43 
jj1 = 57, max_th = 1.239226e+00, time=2025-04-07 17:19:27 
jj1 = 38, max_th = 1.675407e+00, time=2025-04-07 17:19:42 
jj1 = 21, max_th = 2.569536e+00, time=2025-04-07 17:21:37 
jj1 = 18, max_th = 2.019130e+00, time=2025-04-07 17:25:55 
jj1 = 42, max_th = 1.610146e+00, time=2025-04-07 17:26:21 
jj1 = 13, max_th = 2.454727e+00, time=2025-04-07 17:27:19 
jj1 = 12, max_th = 2.804817e+00, time=2025-04-07 17:29:17 
jj1 = 47, max_th = 1.846225e+00, time=2025-04-07 17:30:10 
jj1 = 37, max_th = 2.724829e+00, time=2025-04-07 17:31:35 
jj1 = 51, max_th = 2.611089e+00, time=2025-04-07 17:32:50 
jj1 = 3, max_th = 2.226105e+00, time=2025-04-07 17:33:11 
jj1 = 255, max_th = 2.373172e+00, time=2025-04-07 17:33:33 
jj1 = 7, max_th = 1.883115e+00, time=2025-04-07 17:33:37 
jj1 = 294, max_th = 2.233512e+00, time=2025-04-07 17:33:52 
jj1 = 36, max_th = 3.008766e+00, time=2025-04-07 17:34:20 
jj1 = 46, max_th = 8.923474e-01, time=2025-04-07 17:34:40 
jj1 = 33, max_th = 2.265400e+00, time=2025-04-07 17:35:06 
jj1 = 11, max_th = 9.401217e-01, time=2025-04-07 17:37:15 
jj1 = 56, max_th = 2.341160e+00, time=2025-04-07 17:38:02 
jj1 = 17, max_th = 1.474840e+00, time=2025-04-07 17:39:33 
jj1 = 2, max_th = 9.841606e-01, time=2025-04-07 17:39:56 
jj1 = 293, max_th = 2.736048e+00, time=2025-04-07 17:42:27 
jj1 = 528, max_th = 9.701739e-01, time=2025-04-07 17:43:08 
jj1 = 489, max_th = 1.432338e+00, time=2025-04-07 17:47:20 
jj1 = 254, max_th = 1.501354e+00, time=2025-04-07 17:47:44 
jj1 = 41, max_th = 2.213639e+00, time=2025-04-07 17:49:15 
jj1 = 6, max_th = 2.352998e+00, time=2025-04-07 17:49:59 
jj1 = 16, max_th = 1.189005e+00, time=2025-04-07 17:50:11 
jj1 = 372, max_th = 1.569771e+00, time=2025-04-07 17:51:07 
jj1 = 292, max_th = 1.042317e+00, time=2025-04-07 17:52:42 
jj1 = 1, max_th = 2.401496e+00, time=2025-04-07 17:53:13 
jj1 = 450, max_th = 1.999674e+00, time=2025-04-07 17:55:17 
jj1 = 177, max_th = 2.384373e+00, time=2025-04-07 17:56:39 
jj1 = 411, max_th = 2.900463e+00, time=2025-04-07 17:59:34 
jj1 = 32, max_th = 2.163062e+00, time=2025-04-07 18:00:00 
jj1 = 488, max_th = 1.707264e+00, time=2025-04-07 18:02:57 
jj1 = 371, max_th = 2.393557e+00, time=2025-04-07 18:06:01 
jj1 = 176, max_th = 2.566608e+00, time=2025-04-07 18:09:38 
jj1 = 527, max_th = 2.015220e+00, time=2025-04-07 18:09:50 
jj1 = 138, max_th = 2.268375e+00, time=2025-04-07 18:10:29 
jj1 = 449, max_th = 2.094378e+00, time=2025-04-07 18:11:47 
jj1 = 137, max_th = -9.179792e-02, time=2025-04-07 18:11:54 
jj1 = 253, max_th = 2.041459e+00, time=2025-04-07 18:12:25 
jj1 = 216, max_th = 1.935591e+00, time=2025-04-07 18:13:08 
jj1 = 487, max_th = 1.300691e+00, time=2025-04-07 18:14:46 
jj1 = 291, max_th = 2.105767e+00, time=2025-04-07 18:15:04 
jj1 = 526, max_th = 1.235207e+00, time=2025-04-07 18:16:58 
jj1 = 252, max_th = 2.959089e+00, time=2025-04-07 18:18:16 
jj1 = 31, max_th = 2.103208e+00, time=2025-04-07 18:19:48 
jj1 = 486, max_th = 2.393277e+00, time=2025-04-07 18:25:13 
jj1 = 99, max_th = 1.617989e+00, time=2025-04-07 18:25:50 
jj1 = 215, max_th = 1.491564e+00, time=2025-04-07 18:28:07 
jj1 = 175, max_th = 2.380191e+00, time=2025-04-07 18:29:47 
jj1 = 448, max_th = 2.221242e+00, time=2025-04-07 18:31:25 
jj1 = 370, max_th = 2.041163e+00, time=2025-04-07 18:32:42 
jj1 = 485, max_th = 2.777070e+00, time=2025-04-07 18:34:13 
jj1 = 251, max_th = 2.526828e+00, time=2025-04-07 18:34:59 
jj1 = 369, max_th = 2.955057e+00, time=2025-04-07 18:36:30 
jj1 = 136, max_th = 1.864213e+00, time=2025-04-07 18:37:23 
jj1 = 333, max_th = 1.941543e+00, time=2025-04-07 18:41:33 
jj1 = 410, max_th = 1.664809e+00, time=2025-04-07 18:41:55 
jj1 = 368, max_th = 2.688864e+00, time=2025-04-07 18:42:35 
jj1 = 214, max_th = 2.468957e+00, time=2025-04-07 18:42:50 
jj1 = 290, max_th = 1.823949e+00, time=2025-04-07 18:43:23 
jj1 = 525, max_th = 2.020908e+00, time=2025-04-07 18:43:56 
jj1 = 447, max_th = 2.525162e+00, time=2025-04-07 18:45:23 
jj1 = 174, max_th = 2.103064e+00, time=2025-04-07 18:50:52 
jj1 = 484, max_th = 1.571076e+00, time=2025-04-07 18:51:43 
jj1 = 250, max_th = 2.213350e+00, time=2025-04-07 18:52:02 
jj1 = 213, max_th = 1.285345e+00, time=2025-04-07 18:52:42 
jj1 = 98, max_th = 1.964348e+00, time=2025-04-07 18:53:23 
jj1 = 332, max_th = 1.542810e+00, time=2025-04-07 19:00:34 
jj1 = 367, max_th = 2.200314e+00, time=2025-04-07 19:00:38 
jj1 = 289, max_th = 2.431566e+00, time=2025-04-07 19:01:14 
jj1 = 524, max_th = 1.488331e+00, time=2025-04-07 19:01:38 
jj1 = 135, max_th = 2.108713e+00, time=2025-04-07 19:01:57 
jj1 = 409, max_th = 2.303365e+00, time=2025-04-07 19:02:01 
jj1 = 249, max_th = 2.521129e+00, time=2025-04-07 19:04:48 
jj1 = 97, max_th = 1.433492e+00, time=2025-04-07 19:10:38 
jj1 = 288, max_th = 1.302056e+00, time=2025-04-07 19:10:42 
jj1 = 483, max_th = 1.950850e+00, time=2025-04-07 19:12:14 
jj1 = 446, max_th = 2.079243e+00, time=2025-04-07 19:13:33 
jj1 = 212, max_th = 2.043678e+00, time=2025-04-07 19:13:57 
jj1 = 173, max_th = 1.782171e+00, time=2025-04-07 19:14:08 
jj1 = 482, max_th = 1.148180e+00, time=2025-04-07 19:15:34 
jj1 = 96, max_th = 2.828945e+00, time=2025-04-07 19:16:33 
jj1 = 408, max_th = 1.850821e+00, time=2025-04-07 19:16:35 
jj1 = 366, max_th = 2.159345e+00, time=2025-04-07 19:19:47 
jj1 = 331, max_th = 1.640491e+00, time=2025-04-07 19:20:08 
jj1 = 134, max_th = 1.864624e+00, time=2025-04-07 19:22:58 
jj1 = 365, max_th = 2.923286e+00, time=2025-04-07 19:24:16 
jj1 = 364, max_th = 3.170346e+00, time=2025-04-07 19:25:21 
jj1 = 523, max_th = 1.778527e+00, time=2025-04-07 19:26:23 
jj1 = 445, max_th = 1.372528e+00, time=2025-04-07 19:28:05 
jj1 = 172, max_th = 1.666760e+00, time=2025-04-07 19:29:43 
jj1 = 95, max_th = 1.555037e+00, time=2025-04-07 19:31:51 
jj1 = 248, max_th = 2.182578e+00, time=2025-04-07 19:31:55 
jj1 = 287, max_th = 2.158373e+00, time=2025-04-07 19:33:01 
jj1 = 407, max_th = 2.338561e+00, time=2025-04-07 19:36:32 
jj1 = 211, max_th = 2.312747e+00, time=2025-04-07 19:39:38 
jj1 = 330, max_th = 1.617584e+00, time=2025-04-07 19:40:08 
jj1 = 481, max_th = 2.018467e+00, time=2025-04-07 19:40:53 
jj1 = 363, max_th = 1.555729e+00, time=2025-04-07 19:42:45 
jj1 = 444, max_th = 1.998243e+00, time=2025-04-07 19:46:43 
jj1 = 247, max_th = 1.271126e+00, time=2025-04-07 19:46:54 
jj1 = 406, max_th = 2.552926e+00, time=2025-04-07 19:46:57 
jj1 = 246, max_th = 3.623569e+00, time=2025-04-07 19:47:13 
jj1 = 522, max_th = 2.389298e+00, time=2025-04-07 19:48:05 
jj1 = 133, max_th = 1.541770e+00, time=2025-04-07 19:51:36 
jj1 = 362, max_th = 1.212225e+00, time=2025-04-07 19:52:20 
jj1 = 171, max_th = 2.264592e+00, time=2025-04-07 19:53:58 
jj1 = 94, max_th = 1.583887e+00, time=2025-04-07 19:55:55 
jj1 = 480, max_th = 1.465427e+00, time=2025-04-07 19:57:45 
jj1 = 286, max_th = 2.027739e+00, time=2025-04-07 19:58:43 
jj1 = 329, max_th = 2.332749e+00, time=2025-04-07 20:00:08 
jj1 = 443, max_th = 2.108232e+00, time=2025-04-07 20:03:49 
jj1 = 170, max_th = 1.632719e+00, time=2025-04-07 20:08:22 
jj1 = 521, max_th = 2.220567e+00, time=2025-04-07 20:09:24 
jj1 = 405, max_th = 2.202677e+00, time=2025-04-07 20:09:46 
jj1 = 361, max_th = 1.579970e+00, time=2025-04-07 20:09:53 
jj1 = 132, max_th = 1.730430e+00, time=2025-04-07 20:11:50 
jj1 = 245, max_th = 1.775208e+00, time=2025-04-07 20:12:10 
jj1 = 93, max_th = 1.577263e+00, time=2025-04-07 20:14:23 
jj1 = 210, max_th = 1.875161e+00, time=2025-04-07 20:15:02 
jj1 = 442, max_th = 1.329719e+00, time=2025-04-07 20:16:55 
jj1 = 479, max_th = 2.123024e+00, time=2025-04-07 20:19:13 
jj1 = 209, max_th = 2.843102e+00, time=2025-04-07 20:21:00 
jj1 = 328, max_th = 1.956352e+00, time=2025-04-07 20:21:05 
jj1 = 131, max_th = 2.659596e+00, time=2025-04-07 20:22:19 
jj1 = 285, max_th = 1.536244e+00, time=2025-04-07 20:23:33 
jj1 = 404, max_th = 2.389228e+00, time=2025-04-07 20:26:42 
jj1 = 208, max_th = 2.775676e+00, time=2025-04-07 20:28:47 
jj1 = 520, max_th = 2.424382e+00, time=2025-04-07 20:29:03 
jj1 = 169, max_th = 2.004298e+00, time=2025-04-07 20:30:38 
jj1 = 441, max_th = 1.656248e+00, time=2025-04-07 20:31:15 
jj1 = 244, max_th = 2.181152e+00, time=2025-04-07 20:33:47 
jj1 = 360, max_th = 2.120410e+00, time=2025-04-07 20:34:34 
jj1 = 284, max_th = 1.393180e+00, time=2025-04-07 20:38:26 
jj1 = 403, max_th = 2.505523e+00, time=2025-04-07 20:38:47 
jj1 = 130, max_th = 1.479734e+00, time=2025-04-07 20:38:52 
jj1 = 92, max_th = 2.083875e+00, time=2025-04-07 20:39:39 
jj1 = 327, max_th = 1.798430e+00, time=2025-04-07 20:41:23 
jj1 = 519, max_th = 1.748929e+00, time=2025-04-07 20:44:24 
jj1 = 168, max_th = 1.850862e+00, time=2025-04-07 20:46:05 
jj1 = 283, max_th = 1.257685e+00, time=2025-04-07 20:46:56 
jj1 = 282, max_th = 7.868698e-01, time=2025-04-07 20:48:50 
jj1 = 478, max_th = 1.926200e+00, time=2025-04-07 20:50:03 
jj1 = 207, max_th = 2.209119e+00, time=2025-04-07 20:50:30 
jj1 = 359, max_th = 2.405537e+00, time=2025-04-07 20:50:44 
jj1 = 129, max_th = 2.432660e+00, time=2025-04-07 20:53:26 
jj1 = 128, max_th = 7.862153e-01, time=2025-04-07 20:55:48 
jj1 = 243, max_th = 2.005069e+00, time=2025-04-07 20:55:54 
jj1 = 440, max_th = 2.065686e+00, time=2025-04-07 20:58:10 
jj1 = 402, max_th = 1.673623e+00, time=2025-04-07 20:58:15 
jj1 = 91, max_th = 2.370037e+00, time=2025-04-07 21:01:13 
jj1 = 518, max_th = 2.416007e+00, time=2025-04-07 21:02:47 
jj1 = 167, max_th = 1.734658e+00, time=2025-04-07 21:04:38 
jj1 = 326, max_th = 1.569615e+00, time=2025-04-07 21:05:20 
jj1 = 439, max_th = 1.137748e+00, time=2025-04-07 21:05:40 
jj1 = 477, max_th = 2.363409e+00, time=2025-04-07 21:07:24 
jj1 = 281, max_th = 1.786449e+00, time=2025-04-07 21:10:55 
jj1 = 476, max_th = 3.035640e+00, time=2025-04-07 21:11:49 
jj1 = 401, max_th = 1.651845e+00, time=2025-04-07 21:15:48 
jj1 = 358, max_th = 2.061472e+00, time=2025-04-07 21:17:48 
jj1 = 242, max_th = 2.044792e+00, time=2025-04-07 21:17:58 
jj1 = 206, max_th = 1.727758e+00, time=2025-04-07 21:18:57 
jj1 = 438, max_th = 1.842698e+00, time=2025-04-07 21:19:09 
jj1 = 437, max_th = 3.412582e+00, time=2025-04-07 21:20:06 
jj1 = 127, max_th = 1.911496e+00, time=2025-04-07 21:20:46 
jj1 = 436, max_th = 6.581246e-01, time=2025-04-07 21:22:06 
jj1 = 280, max_th = 1.435774e+00, time=2025-04-07 21:23:16 
jj1 = 325, max_th = 1.476254e+00, time=2025-04-07 21:24:17 
jj1 = 90, max_th = 1.838277e+00, time=2025-04-07 21:32:22 
jj1 = 241, max_th = 2.539891e+00, time=2025-04-07 21:33:20 
jj1 = 517, max_th = 2.255296e+00, time=2025-04-07 21:34:38 
jj1 = 475, max_th = 1.893740e+00, time=2025-04-07 21:35:15 
jj1 = 166, max_th = 2.012504e+00, time=2025-04-07 21:36:22 
jj1 = 279, max_th = 2.447553e+00, time=2025-04-07 21:37:14 
jj1 = 400, max_th = 2.277247e+00, time=2025-04-07 21:37:47 
jj1 = 357, max_th = 1.889886e+00, time=2025-04-07 21:38:39 
jj1 = 278, max_th = 9.003260e-01, time=2025-04-07 21:40:50 
jj1 = 126, max_th = 1.810162e+00, time=2025-04-07 21:41:13 
jj1 = 435, max_th = 2.148048e+00, time=2025-04-07 21:41:24 
jj1 = 324, max_th = 2.298344e+00, time=2025-04-07 21:42:15 
jj1 = 205, max_th = 1.779562e+00, time=2025-04-07 21:43:11 
jj1 = 125, max_th = 8.097290e-01, time=2025-04-07 21:46:09 
jj1 = 356, max_th = 2.776587e+00, time=2025-04-07 21:46:11 
jj1 = 323, max_th = 2.940098e+00, time=2025-04-07 21:46:57 
jj1 = 474, max_th = 2.247379e+00, time=2025-04-07 21:52:18 
jj1 = 240, max_th = 2.304247e+00, time=2025-04-07 21:52:52 
jj1 = 277, max_th = 2.619646e+00, time=2025-04-07 21:53:04 
jj1 = 355, max_th = 9.789463e-01, time=2025-04-07 21:53:45 
jj1 = 204, max_th = 1.377769e+00, time=2025-04-07 21:53:54 
