MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 20, max_th = 1.235685e+00, time=2025-04-10 19:57:56 
jj1 = 60, max_th = 2.415719e+00, time=2025-04-10 20:03:08 
jj1 = 55, max_th = 2.636745e+00, time=2025-04-10 20:04:03 
jj1 = 19, max_th = 2.603696e+00, time=2025-04-10 20:08:02 
jj1 = 25, max_th = 1.568454e+00, time=2025-04-10 20:12:36 
jj1 = 50, max_th = 2.007307e+00, time=2025-04-10 20:13:27 
jj1 = 15, max_th = 1.767294e+00, time=2025-04-10 20:13:37 
jj1 = 45, max_th = 1.808989e+00, time=2025-04-10 20:13:41 
jj1 = 30, max_th = 2.203556e+00, time=2025-04-10 20:13:57 
jj1 = 35, max_th = 2.012317e+00, time=2025-04-10 20:15:15 
jj1 = 10, max_th = 1.928077e+00, time=2025-04-10 20:15:52 
jj1 = 54, max_th = 1.446766e+00, time=2025-04-10 20:17:36 
jj1 = 5, max_th = 1.767434e+00, time=2025-04-10 20:17:59 
jj1 = 29, max_th = 1.055417e+00, time=2025-04-10 20:19:08 
jj1 = 40, max_th = 2.077073e+00, time=2025-04-10 20:20:48 
jj1 = 24, max_th = 6.874413e-01, time=2025-04-10 20:22:52 
jj1 = 59, max_th = 1.907534e+00, time=2025-04-10 20:26:41 
jj1 = 18, max_th = 1.811111e+00, time=2025-04-10 20:31:49 
jj1 = 9, max_th = 1.894822e+00, time=2025-04-10 20:34:48 
jj1 = 39, max_th = 1.537669e+00, time=2025-04-10 20:35:37 
jj1 = 17, max_th = 3.779604e+00, time=2025-04-10 20:35:43 
jj1 = 49, max_th = 1.786275e+00, time=2025-04-10 20:36:38 
jj1 = 34, max_th = 1.723791e+00, time=2025-04-10 20:37:40 
jj1 = 14, max_th = 2.208793e+00, time=2025-04-10 20:38:28 
jj1 = 53, max_th = 2.309495e+00, time=2025-04-10 20:38:32 
jj1 = 4, max_th = 1.709339e+00, time=2025-04-10 20:40:04 
jj1 = 23, max_th = 2.507707e+00, time=2025-04-10 20:40:32 
jj1 = 22, max_th = 8.284791e-01, time=2025-04-10 20:43:01 
jj1 = 28, max_th = 2.141890e+00, time=2025-04-10 20:46:42 
jj1 = 27, max_th = 4.425823e-01, time=2025-04-10 20:47:09 
jj1 = 58, max_th = 2.190531e+00, time=2025-04-10 20:49:07 
jj1 = 52, max_th = 1.448096e+00, time=2025-04-10 20:50:29 
